"URL","Status","Title","Title Length","Description","Desc Length","H1","Word Count","Canonical","Response Time (ms)","Internal Links","Images Without Alt","From Sitemap","Issues"
"https://renthospitalbed.my/products/katil-hospital-3-fungsi.html","200","Katil Hospital 3 Fungsi | Kawalan Penuh Untuk Keselesaan Maksimum (2026)","72","Untuk pesakit yang perlu kerap tukar posisi. Katil 3 fungsi - laras kepala, kaki DAN ketinggian. Kurangkan beban penjaga. Sewa RM250/bulan atau beli RM1,349.","157","Katil Hospital 3 Fungsi","170","https://renthospitalbed.my/products/katil-hospital-3-fungsi/","701","8","0","Yes","[warning] Title too long (72 chars, max 60); [warning] Canonical points elsewhere: https://renthospitalbed.my/products/katil-hospital-3-fungsi/; [info] Heading level skipped: H1 -> H4; [warning] Low word count (170 words, aim for 300+)"
"https://renthospitalbed.my/products/","200","Produk Katil Hospital Malaysia | Bandingkan & Pilih Yang Sesuai (2026)","70","Tak pasti katil hospital mana yang sesuai? Bandingkan semua model - manual, elektrik, 1-crank hingga 3-crank. Sewa dari RM150/bulan atau beli dari RM799. Kami bantu anda pilih.","176","Katil Hospital Mana Yang Sesuai Untuk Pesakit Anda?","391","https://renthospitalbed.my/products/","736","9","0","Yes","[warning] Title too long (70 chars, max 60); [warning] Meta description too long (176 chars, max 160)"
"https://renthospitalbed.my/","200","Sewa Katil Hospital Malaysia | Penghantaran 4 Jam, Tanpa Deposit (2026)","71","Sewa katil hospital dari RM150/bulan, beli dari RM799. Tanpa deposit, penghantaran 4 jam, servis percuma. 500+ keluarga Malaysia percaya kami.","142","Sewa & Beli KatilHospital #1 Malaysia","1490","https://renthospitalbed.my/","788","193","0","Yes","[warning] Title too long (71 chars, max 60); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/rental/","200","Sewa Katil Hospital Malaysia | Dari RM150/Bulan, Pemasangan Percuma (2026)","74","Sewa katil hospital dari RM150/bulan. Pemasangan PERCUMA, penghantaran ke seluruh Malaysia. Katil 2 fungsi, 3 fungsi & elektrik. AA Alive Sdn Bhd - Pembekal #1 sejak 2016.","171","Perlukan Katil Hospital Sementara?Sewa Lebih Murah.","911","https://renthospitalbed.my/rental/","789","20","0","Yes","[warning] Title too long (74 chars, max 60); [warning] Meta description too long (171 chars, max 160); [info] Heading level skipped: H1 -> H3; [info] Missing og:title; [info] Missing og:description; [info] Missing og:image"
"https://renthospitalbed.my/products/katil-hospital-2-fungsi.html","200","Katil Hospital 2 Fungsi | Paling Popular Untuk Penjagaan Di Rumah (2026)","72","Kenapa 500+ keluarga pilih katil 2 fungsi? Boleh laras kepala dan kaki - cukup untuk kebanyakan pesakit. Sewa RM150/bulan atau beli RM799. Penghantaran 4 jam.","158","Katil Hospital 2 Fungsi - Pilihan Paling Bijak Untuk Kebanyakan Keluarga","168","https://renthospitalbed.my/products/katil-hospital-2-fungsi/","851","8","0","Yes","[warning] Title too long (72 chars, max 60); [warning] Canonical points elsewhere: https://renthospitalbed.my/products/katil-hospital-2-fungsi/; [info] Heading level skipped: H1 -> H3; [warning] Low word count (168 words, aim for 300+)"
"https://renthospitalbed.my/faq.html","200","FAQ Sewa Katil Hospital Malaysia | Semua Soalan Dijawab (2026)","62","Soalan lazim sewa katil hospital Malaysia. Harga dari RM150/bulan, tanpa deposit, proses 15 minit, penghantaran 4 jam ke rumah anda.","132","Semua Yang Anda Perlu Tahu Sebelum Sewa Katil Hospital","738","https://renthospitalbed.my/faq/","312","3","0","Yes","[warning] Title too long (62 chars, max 60); [warning] Canonical points elsewhere: https://renthospitalbed.my/faq/; [info] Missing og:image"
"https://renthospitalbed.my/blog/","200","Blog Katil Hospital | Tips Penjagaan Pesakit & Panduan Pilih Katil (2026)","73","Baca artikel panduan memilih katil hospital yang sesuai, tips penjagaan pesakit di rumah, dan perbandingan model katil. Ditulis oleh pakar dengan 8+ tahun pengalaman.","166","Blog Katil Hospital","238","https://renthospitalbed.my/blog/","291","11","0","Yes","[warning] Title too long (73 chars, max 60); [warning] Meta description too long (166 chars, max 160); [info] Heading level skipped: H2 -> H4; [warning] Low word count (238 words, aim for 300+)"
"https://renthospitalbed.my/purchase/","200","Beli Katil Hospital Malaysia | Jaminan 2 Tahun, Ansuran 0% (2026)","65","Perlu katil hospital untuk jangka panjang? Beli lebih jimat dari sewa. Dari RM1,300, jaminan 2 tahun, ansuran 0% sehingga 24 bulan. Penghantaran 4 jam ke seluruh Malaysia. 500+ keluarga sudah percaya kami.","205","Perlukan Katil Hospital Lebih Dari 12 Bulan?Beli Lebih Berbaloi.","1035","https://renthospitalbed.my/purchase/","404","25","0","Yes","[warning] Title too long (65 chars, max 60); [warning] Meta description too long (205 chars, max 160); [info] Heading level skipped: H1 -> H3; [info] Missing og:title; [info] Missing og:description; [info] Missing og:image"
"https://renthospitalbed.my/contact.html","200","Hubungi Kami | Respons 5 Minit, Penghantaran 4 Jam (2026)","57","Perlukan katil hospital segera? WhatsApp 011-2879 9609 - respons dalam 5 minit. Penghantaran 4 jam ke seluruh Lembah Klang. Sokongan 24/7. Tanpa deposit, setup percuma.","168","Ada Soalan? Kami Respons Dalam 5 Minit.","328","https://renthospitalbed.my/contact/","348","3","0","Yes","[warning] Meta description too long (168 chars, max 160); [warning] Canonical points elsewhere: https://renthospitalbed.my/contact/; [info] Missing og:image"
"https://renthospitalbed.my/tentang-kami.html","200","Tentang Kami | AA Alive Sdn Bhd - Pembekal Katil Hospital Sejak 2016","68","AA Alive Sdn Bhd (1204108-D) - Pembekal katil hospital dipercayai di Malaysia sejak 2016. 500+ keluarga dilayan, penghantaran ke seluruh Malaysia. Lulus KKM & MDA.","163","Tentang AA Alive Sdn Bhd","460","https://renthospitalbed.my/tentang-kami/","351","7","0","Yes","[warning] Title too long (68 chars, max 60); [warning] Meta description too long (163 chars, max 160); [warning] Canonical points elsewhere: https://renthospitalbed.my/tentang-kami/; [info] Heading level skipped: H2 -> H4"
"https://renthospitalbed.my/blog/best-hospital-bed-rental-malaysia/","200","Best Hospital Bed Rental Malaysia 2026: Top Providers Compared","62","Looking for hospital bed rental in Malaysia? Compare top providers, prices from RM150/month, delivery options, and find the best hospital bed for home care. Updated January 2026.","178","Best Hospital Bed Rental Malaysia 2026: Complete Guide & Top Providers","955","https://renthospitalbed.my/blog/best-hospital-bed-rental-malaysia/","293","10","0","Yes","[warning] Title too long (62 chars, max 60); [warning] Meta description too long (178 chars, max 160); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/blog/katil-2-fungsi-vs-3-fungsi/","200","Katil 2 Fungsi vs 3 Fungsi: Panduan Lengkap Pilih Yang Sesuai (2026)","68","Bingung pilih katil 2 fungsi atau 3 fungsi? Artikel ini jelaskan perbezaan sebenar, harga, dan siapa sesuai guna apa. Baca sebelum buat keputusan.","146","Katil 2 Fungsi vs 3 Fungsi: Mana Lebih Sesuai Untuk Pesakit Anda?","658","https://renthospitalbed.my/blog/katil-2-fungsi-vs-3-fungsi/","358","10","0","Yes","[warning] Title too long (68 chars, max 60); [info] Heading level skipped: H1 -> H4"
"https://renthospitalbed.my/blog/cara-jaga-pesakit-bedridden/","200","Cara Jaga Pesakit Bedridden di Rumah | Panduan Lengkap Penjaga (2026)","69","Panduan lengkap menjaga pesakit bedridden di rumah. Tips positioning, kebersihan, pemakanan, dan mencegah bedsore. Ditulis oleh pakar dengan 8 tahun pengalaman.","160","Cara Jaga Pesakit Bedridden di Rumah: Panduan Lengkap Untuk Penjaga","767","https://renthospitalbed.my/blog/cara-jaga-pesakit-bedridden/","337","11","0","Yes","[warning] Title too long (69 chars, max 60); [info] Heading level skipped: H1 -> H4"
"https://renthospitalbed.my/blog/sewa-vs-beli-katil-hospital/","200","Sewa vs Beli Katil Hospital: Mana Lebih Jimat? Kiraan Sebenar (2026)","68","Sewa atau beli katil hospital? Kami tunjukkan kiraan sebenar - berapa bulan sewa sebelum beli jadi lebih berbaloi. Panduan membuat keputusan yang bijak.","152","Sewa vs Beli Katil Hospital: Mana Lebih Jimat? Kiraan Sebenar","519","https://renthospitalbed.my/blog/sewa-vs-beli-katil-hospital/","323","10","0","Yes","[warning] Title too long (68 chars, max 60); [info] Heading level skipped: H1 -> H4"
"https://renthospitalbed.my/katil-hospital-selangor.html","200","Sewa Katil Hospital Selangor | Penghantaran Seluruh Selangor (2026)","67","Sewa katil hospital di Selangor dari RM150/bulan. Penghantaran 4 jam ke Shah Alam, PJ, Subang Jaya, Klang. Tanpa deposit, pemasangan percuma. ☎ 011-2879 9609","157","Katil Hospital #1 Selangor","1100","https://renthospitalbed.my/katil-hospital-selangor.html","495","28","0","Yes","[warning] Title too long (67 chars, max 60); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/katil-hospital-johor.html","200","Sewa Katil Hospital Johor | Penghantaran Seluruh Johor (2026)","61","Sewa katil hospital di Johor dari RM150/bulan. Penghantaran same-day ke JB, Batu Pahat, Muar, Kluang. Tanpa deposit, pemasangan percuma. ☎ 011-2879 9609","152","Katil Hospital #1 Johor","1038","https://renthospitalbed.my/katil-hospital-johor.html","464","24","0","Yes","[warning] Title too long (61 chars, max 60); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/katil-hospital-pulau-pinang.html","200","Sewa Katil Hospital Pulau Pinang | Penghantaran Seluruh Penang (2026)","69","Sewa katil hospital di Pulau Pinang dari RM150/bulan. Penghantaran ke George Town, Bayan Lepas, Butterworth. Tanpa deposit, pemasangan percuma. ☎ 011-2879 9609","159","Katil Hospital #1 Pulau Pinang","1065","https://renthospitalbed.my/katil-hospital-pulau-pinang.html","451","22","0","Yes","[warning] Title too long (69 chars, max 60); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/katil-hospital-perak.html","200","Sewa Katil Hospital Perak | Penghantaran Seluruh Perak (2026)","61","Sewa katil hospital di Perak dari RM150/bulan. Penghantaran ke Ipoh, Taiping, Teluk Intan, Seri Manjung. Tanpa deposit, pemasangan percuma. ☎ 011-2879 9609","155","Katil Hospital #1 Perak","985","https://renthospitalbed.my/katil-hospital-perak.html","520","24","0","Yes","[warning] Title too long (61 chars, max 60); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/rental","200","Sewa Katil Hospital Malaysia | Dari RM150/Bulan, Pemasangan Percuma (2026)","74","Sewa katil hospital dari RM150/bulan. Pemasangan PERCUMA, penghantaran ke seluruh Malaysia. Katil 2 fungsi, 3 fungsi & elektrik. AA Alive Sdn Bhd - Pembekal #1 sejak 2016.","171","Perlukan Katil Hospital Sementara?Sewa Lebih Murah.","911","https://renthospitalbed.my/rental/","71","20","0","Discovered","[warning] Title too long (74 chars, max 60); [warning] Meta description too long (171 chars, max 160); [info] Heading level skipped: H1 -> H3; [info] Missing og:title; [info] Missing og:description; [info] Missing og:image"
"https://renthospitalbed.my/products","200","Produk Katil Hospital Malaysia | Bandingkan & Pilih Yang Sesuai (2026)","70","Tak pasti katil hospital mana yang sesuai? Bandingkan semua model - manual, elektrik, 1-crank hingga 3-crank. Sewa dari RM150/bulan atau beli dari RM799. Kami bantu anda pilih.","176","Katil Hospital Mana Yang Sesuai Untuk Pesakit Anda?","391","https://renthospitalbed.my/products/","68","9","0","Discovered","[warning] Title too long (70 chars, max 60); [warning] Meta description too long (176 chars, max 160)"
"https://renthospitalbed.my/purchase","200","Beli Katil Hospital Malaysia | Jaminan 2 Tahun, Ansuran 0% (2026)","65","Perlu katil hospital untuk jangka panjang? Beli lebih jimat dari sewa. Dari RM1,300, jaminan 2 tahun, ansuran 0% sehingga 24 bulan. Penghantaran 4 jam ke seluruh Malaysia. 500+ keluarga sudah percaya kami.","205","Perlukan Katil Hospital Lebih Dari 12 Bulan?Beli Lebih Berbaloi.","1035","https://renthospitalbed.my/purchase/","91","25","0","Discovered","[warning] Title too long (65 chars, max 60); [warning] Meta description too long (205 chars, max 160); [info] Heading level skipped: H1 -> H3; [info] Missing og:title; [info] Missing og:description; [info] Missing og:image"
"https://renthospitalbed.my/blog/katil-2-fungsi-vs-3-fungsi","200","Katil 2 Fungsi vs 3 Fungsi: Panduan Lengkap Pilih Yang Sesuai (2026)","68","Bingung pilih katil 2 fungsi atau 3 fungsi? Artikel ini jelaskan perbezaan sebenar, harga, dan siapa sesuai guna apa. Baca sebelum buat keputusan.","146","Katil 2 Fungsi vs 3 Fungsi: Mana Lebih Sesuai Untuk Pesakit Anda?","658","https://renthospitalbed.my/blog/katil-2-fungsi-vs-3-fungsi/","34","10","0","Discovered","[warning] Title too long (68 chars, max 60); [info] Heading level skipped: H1 -> H4"
"https://renthospitalbed.my/katil-hospital-kedah.html","200","Sewa Katil Hospital Kedah | Penghantaran Seluruh Kedah (2026)","61","Sewa katil hospital di Kedah dari RM150/bulan. Penghantaran ke Alor Setar, Sungai Petani, Kulim, Langkawi. Tanpa deposit. ☎ 011-2879 9609","137","Katil Hospital #1 Kedah","992","https://renthospitalbed.my/katil-hospital-kedah.html","411","22","0","Yes","[warning] Title too long (61 chars, max 60); [info] Heading level skipped: H1 -> H3"
"https://renthospitalbed.my/products/katil-hospital-3-crank","404","","0","","0","","8","","44","0","0","Discovered","[critical] Page not found (404); [critical] Missing <title> tag; [critical] Missing meta description; [warning] Missing canonical tag; [warning] Missing H1 tag; [critical] Thin content (8 words, min 100); [info] Missing og:title; [info] Missing og:description; [info] Missing og:image; [warning] Few internal links (0)"
"https://renthospitalbed.my/products/katil-hospital-elektrik","404","","0","","0","","8","","80","0","0","Discovered","[critical] Page not found (404); [critical] Missing <title> tag; [critical] Missing meta description; [warning] Missing canonical tag; [warning] Missing H1 tag; [critical] Thin content (8 words, min 100); [info] Missing og:title; [info] Missing og:description; [info] Missing og:image; [warning] Few internal links (0)"
"https://renthospitalbed.my/products/katil-hospital-2-crank","404","","0","","0","","8","","47","0","0","Discovered","[critical] Page not found (404); [critical] Missing <title> tag; [critical] Missing meta description; [warning] Missing canonical tag; [warning] Missing H1 tag; [critical] Thin content (8 words, min 100); [info] Missing og:title; [info] Missing og:description; [info] Missing og:image; [warning] Few internal links (0)"
